"NIT","RAZÓN SOCIAL","SUPERVISOR","REGIÓN","DEPARTAMENTO DOMICILIO","CIUDAD DOMICILIO","CIIU","MACROSECTOR","INGRESOS OPERACIONALES","GANANCIA (PÉRDIDA)","TOTAL ACTIVOS","TOTAL PASIVOS","TOTAL PATRIMONIO","Año de Corte"
"830,005,771","SURGIPLAST LIMITADA.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,649","COMERCIO","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,065,822","RIVARCA S.A.S.","SUPERSOCIEDADES","OTROS","CASANARE","YOPAL","3,520","COMERCIO","$0.02","$0.00","$0.02","$0.00","$0.01","2,021"
"900,520,649","HOTELES CACIQUE INTERNACIONAL S.A.S.","SUPERSOCIEDADES","CENTRO - ORIENTE","SANTANDER","BUCARAMANGA","5,511","SERVICIOS","$0.02","$0.00","$0.03","$0.00","$0.03","2,021"
"860,600,063","BDO AUDIT S.A.S. BIC","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","6,920","SERVICIOS","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"800,032,979","WIDEX COLOMBIA S.A.S.","SUPERSALUD","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,645","COMERCIO","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"809,012,788","ESTACION DE SERVICIO ARAZUL S.A.S.","SUPERSOCIEDADES","OTROS","TOLIMA","IBAGUE","4,731","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"830,059,437","EDREDONA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","MADRID","1,392","MANUFACTURA","$0.02","$0.00","$0.02","$0.02","$0.00","2,021"
"890,302,442","LABORATORIOS LAVERLAM S.A.","SUPERSOCIEDADES","COSTA PACÍFICA","VALLE","CALI","2,100","MANUFACTURA","$0.02","$0.00","$0.03","$0.03","$0.01","2,021"
"900,675,394","ALGAR TECNOLOGIA S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","ENVIGADO","6,201","SERVICIOS","$0.02","$0.00","$0.01","$0.01","$0.01","2,021"
"800,092,777","GRUPO NOVA S.A.","SUPERSOCIEDADES","CENTRO - ORIENTE","NORTE DE SANTANDER","CUCUTA","1,521","MANUFACTURA","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,881,993","ISCOL INVESTMENTS S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","VALLE","PALMIRA","1,020","MANUFACTURA","$0.02","-$0.01","$0.03","$0.02","$0.02","2,021"
"900,574,028","ORGANIZACION DE INGENIERIA CIVIL Y ELECTRICA S.A.S.","SUPERSOCIEDADES","OTROS","META","VILLAVICENCIO","4,290","CONSTRUCCIÓN","$0.02","$0.00","$0.01","$0.00","$0.00","2,021"
"900,236,008","CUIDARTE EN CASA S.A.S.","SUPERSALUD","EJE CAFETERO","CALDAS","MANIZALES","8,610","SERVICIOS","$0.02","$0.01","$0.03","$0.02","$0.01","2,021"
"900,054,920","FH BERTLING LOGISTICS COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","5,229","SERVICIOS","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"901,080,271","PROVENZA CONSTRUCCIONES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,111","CONSTRUCCIÓN","$0.02","$0.00","$0.02","$0.02","$0.00","2,021"
"800,030,893","MOJICA CONSTRUCTORA S.A.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","CHIA","4,111","CONSTRUCCIÓN","$0.02","$0.00","$0.07","$0.07","$0.01","2,021"
"900,171,022","MOTORESTE AUTOS S.A.","SUPERSOCIEDADES","CENTRO - ORIENTE","SANTANDER","BUCARAMANGA","4,511","COMERCIO","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"860,003,228","SILCA SOUTH AMERICA S.A.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","TOCANCIPA","2,599","MANUFACTURA","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,030,829","PROMOTORA CALEDONIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,111","CONSTRUCCIÓN","$0.02","$0.00","$0.06","$0.05","$0.01","2,021"
"900,272,615","IMAGENES DIAGNOSTICAS SAN JOSE","SUPERSALUD","COSTA PACÍFICA","VALLE","GUADALAJARA DE BUGA","8,691","SERVICIOS","$0.02","$0.00","$0.02","$0.00","$0.01","2,021"
"860,041,889","EXIPLAST S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","TENJO","2,221","MANUFACTURA","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"900,380,505","EMPAFLEXCO S.A. EN REORGANIZACION","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","SOACHA","3,290","MANUFACTURA","$0.02","$0.00","$0.04","$0.02","$0.02","2,021"
"900,293,274","INYECCION Y SOPLADOD E PLASTICOS S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","2,221","MANUFACTURA","$0.02","-$0.00","$0.01","$0.01","$0.00","2,021"
"900,267,252","B.P SURTICREDITOS S.A.S.","SUPERSOCIEDADES","COSTA PACÍFICA","VALLE","CALI","4,754","COMERCIO","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"830,048,433","INBIMA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","3,110","MANUFACTURA","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,675,223","COMSA COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,210","CONSTRUCCIÓN","$0.02","$0.00","$0.03","$0.03","$0.00","2,021"
"900,229,761","NET LOGISTIK COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","7,010","SERVICIOS","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"900,584,804","CAPRIS COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","FUNZA","4,663","COMERCIO","$0.02","$0.00","$0.02","$0.02","$0.00","2,021"
"900,366,411","COMERCIAL PEREZ Y GAVIRIA S.A.S.","SUPERSOCIEDADES","CENTRO - ORIENTE","NORTE DE SANTANDER","LOS PATIOS","4,631","COMERCIO","$0.02","$0.00","$0.00","$0.00","$0.00","2,021"
"900,148,177","PEAR SOLUTIONS S.A.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","6,202","SERVICIOS","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,732,772","PROARCA COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,663","COMERCIO","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"860,511,704","IMPORTADORA SUR ALPINE S.A.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,530","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"890,935,401","BYR INGENIERIA DE FLUIDOS S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","4,659","COMERCIO","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"830,118,667","ASISTENCIA TECNICA INDUSTRIAL S.A.S.","SUPERSOCIEDADES","CENTRO - ORIENTE","BOYACA","DUITAMA","3,514","SERVICIOS","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"807,004,631","ESE HOSPITAL LOCAL JORGE CRISTO SAHIUM VILLA DEL ROSARIO","SUPERSALUD","CENTRO - ORIENTE","NORTE DE SANTANDER","VILLA DEL ROSARIO","8,610","SERVICIOS","$0.02","$0.00","$0.04","$0.02","$0.02","2,021"
"900,457,433","MYM PETUNIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,711","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.00","2,021"
"890,900,427","PROPLAS S.A.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","LA ESTRELLA","2,229","MANUFACTURA","$0.02","-$0.00","$0.05","$0.02","$0.03","2,021"
"805,010,752","DISTRIBUIDORA LA COSTA S.A.","SUPERSOCIEDADES","COSTA PACÍFICA","VALLE","YUMBO","4,631","COMERCIO","$0.02","$0.00","$0.00","$0.00","$0.00","2,021"
"800,045,259","SU TRACTOR S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,653","COMERCIO","$0.02","$0.00","$0.02","$0.00","$0.01","2,021"
"900,353,601","DIACEMENTO S.A.S.","SUPERSOCIEDADES","OTROS","TOLIMA","IBAGUE","4,752","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.00","2,021"
"900,713,342","TAPTAP ADVERTISING S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","7,310","SERVICIOS","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"811,006,928","INTERVENTORIA DISEÑOS Y CONTRATOS S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","ENVIGADO","4,210","CONSTRUCCIÓN","$0.02","$0.00","$0.06","$0.04","$0.02","2,021"
"890,926,412","LA HACIENDA S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","122","AGROPECUARIO","$0.02","$0.00","$0.05","$0.01","$0.04","2,021"
"804,015,014","CONSTRUCTORA CONSUEGRA SANTOS S.A.","SUPERSOCIEDADES","CENTRO - ORIENTE","SANTANDER","BUCARAMANGA","4,111","CONSTRUCCIÓN","$0.02","$0.00","$0.05","$0.04","$0.01","2,021"
"802,019,573","CLINICA PORVENIR LIMITADA","SUPERSALUD","COSTA ATLÁNTICA","ATLANTICO","SOLEDAD","8,610","SERVICIOS","$0.02","$0.00","$0.03","$0.01","$0.02","2,021"
"901,193,627","MINAS SAN JOSE S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","510","MINERO","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"901,029,518","TETRIS LOGISTICA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","5,229","SERVICIOS","$0.02","$0.02","$0.32","$0.00","$0.32","2,021"
"860,020,240","LUGO HERMANOS S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,752","COMERCIO","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,068,328","COLFACTORY S.A.","SUPERSOCIEDADES","COSTA PACÍFICA","VALLE","CALI","1,410","MANUFACTURA","$0.02","-$0.00","$0.02","$0.01","$0.01","2,021"
"811,025,635","FEELING COMPANY S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","7,310","SERVICIOS","$0.02","$0.00","$0.01","$0.01","$0.01","2,021"
"836,000,386","IPS DEL MUNICIPIO DE CARTAGO ESE","SUPERSALUD","COSTA PACÍFICA","VALLE","CARTAGO","8,621","SERVICIOS","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"900,510,844","CENTRO DE EVALUACIÓN DIAGNÓSTICA Y REHABILITACIÓN NEUROCOGNITIVA S.A.S., SIGLACEREN S.A.S.","SUPERSALUD","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","8,621","SERVICIOS","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"900,657,219","DAIKIN AIRCONDITIONING COLOMBIA S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,669","COMERCIO","$0.02","-$0.00","$0.03","$0.03","-$0.00","2,021"
"890,927,054","AVES EMAUS S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","145","AGROPECUARIO","$0.02","$0.00","$0.01","$0.01","$0.01","2,021"
"901,220,256","MERCADOS CASH S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","SOACHA","4,711","COMERCIO","$0.02","$0.00","$0.01","$0.01","$0.00","2,021"
"900,269,883","ZONA FRANCA METROPOLITANA S.A.S. USUARIO OPERADOR","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","COTA","7,020","SERVICIOS","$0.02","$0.00","$0.08","$0.04","$0.04","2,021"
"900,100,089","VIDASER EU","SUPERSALUD","OTROS","META","VILLAVICENCIO","8,621","SERVICIOS","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"890,305,501","INDUSTRIAS CATO S.A.S.","SUPERSOCIEDADES","COSTA PACÍFICA","VALLE","CALI","2,599","MANUFACTURA","$0.02","$0.00","$0.02","$0.01","$0.01","2,021"
"900,422,028","COLOMBIANA DE ESCENARIOS S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","8,299","SERVICIOS","$0.02","$0.00","$0.17","$0.12","$0.05","2,021"
"830,062,005","INVERSIONES ESTEBAN Y COMPAÑIA S EN CS","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","2,229","MANUFACTURA","$0.02","$0.00","$0.02","$0.01","$0.02","2,021"
"900,369,097","EMPRESA DE VIGILANCIA Y SEGURIDAD PRIVADA SERVIGPODER LIMITADA.","SUPERVIGILANCIA","COSTA PACÍFICA","VALLE","CALI","8,010","SERVICIOS","$0.02","$0.00","$0.00","$0.00","$0.00","2,021"
"819,006,977","BANANERA EL ENANO S.A.S.","SUPERSOCIEDADES","COSTA ATLÁNTICA","MAGDALENA","SANTA MARTA","122","AGROPECUARIO","$0.02","$0.00","$0.04","$0.01","$0.03","2,021"
"811,016,049","NUCLEOS E INVERSIONES FORESTALES DE COLOMBIA S.A.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","1,610","MANUFACTURA","$0.02","$0.00","$0.02","$0.02","$0.00","2,021"
"814,001,131","NUEVO HORIZONTE S.A.S.","SUPERSOCIEDADES","COSTA PACÍFICA","NARIÑO","PASTO","4,111","CONSTRUCCIÓN","$0.02","$0.00","$0.09","$0.06","$0.03","2,021"
"830,067,878","INDUSTRIA MOLINERA PADDY S.A.S.","SUPERSOCIEDADES","OTROS","META","VILLAVICENCIO","1,051","MANUFACTURA","$0.02","$0.00","$0.01","$0.01","$0.01","2,021"
"800,092,967","INDUSTRIAS DONSSON S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","CUNDINAMARCA","COTA","4,530","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.01","2,021"
"900,434,332","LABORATORIO CLINICO SANTA LUCIA IPS S.A.S.","SUPERSALUD","COSTA ATLÁNTICA","BOLIVAR","CARTAGENA","8,691","SERVICIOS","$0.02","$0.00","$0.03","$0.02","$0.01","2,021"
"860,049,609","MILSEN S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","5,611","SERVICIOS","$0.02","$0.00","$0.01","$0.00","$0.00","2,021"
"900,802,186","MAXIMUEBLES JC S.A.S.","SUPERSOCIEDADES","CENTRO - ORIENTE","SANTANDER","BUCARAMANGA","3,110","MANUFACTURA","$0.02","$0.00","$0.01","$0.01","$0.01","2,021"
"900,803,167","DOHENY S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","141","AGROPECUARIO","$0.02","$0.02","$0.03","$0.00","$0.02","2,021"
"830,058,798","COMERCIALIZADORA MONTEVERDE S.A.S.","SUPERSOCIEDADES","BOGOTÁ - CUNDINAMARCA","BOGOTA D.C.","BOGOTA, D.C.","4,631","COMERCIO","$0.02","$0.00","$0.01","$0.00","$0.00","2,021"
"900,318,997","AGREGADOS DE LA SIERRA S.A.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","MEDELLIN","811","MINERO","$0.02","$0.00","$0.03","$0.02","$0.02","2,021"
"811,027,425","LAMINAS Y EMPAQUES S.A.S.","SUPERSOCIEDADES","ANTIOQUIA","ANTIOQUIA","ITAGUI","2,229","MANUFACTURA","$0.02","$0.00","$0.03","$0.02","$0.01","2,021"
